,Country,City,Latitude,Longitude,elevation
2755,ARM,Tavush,40.8275136,45.1847828,1398.0
2937,ARM,Vayots Dzor,39.8019849,45.4557591,2047.5
1528,ARM,Lori,41.007271,44.4900113,1715.0
182,ATA,Antarctica,-20.4992499,-54.6631943,
2386,ATG,Saint George,17.1218022,-61.78123,
2403,ATG,Saint Mary,17.054815,-61.8602368,
2414,ATG,Saint Philip,17.066357,-61.7061957,
2411,ATG,Saint Peter,17.1070239,-61.7502143,
2275,ATG,Redonda,17.0244844,-62.2936226,
2407,ATG,Saint Paul,17.0325831,-61.7706567,
2391,ATG,Saint John,17.1184569,-61.8448509,
318,ATG,Barbuda,17.6148748,-61.8543761,
2605,AUS,South Australia,-30.5343665,135.6301212,
1855,AUS,New South Wales,-31.8759835,147.2869493,
2947,AUS,Victoria,-36.5986096,144.6780052,
2044,AUS,Other Territories,,,
1963,AUS,Northern Territory,-19.8516101,133.2303375,
2239,AUS,Queensland,-22.1646782,144.5844903,
241,AUS,Australian Capital Territory,-35.4883502,149.0026942,
2750,AUS,Tasmania,-42.035067,146.6366887,
3019,AUS,Western Australia,-25.2303005,121.0187246,
3032,AUT,Wien,48.2083537,16.3725042,
1432,AUT,Kärnten,46.7500001,13.8333333,
2655,AUT,Steiermark,47.2500001,15.1666665,
2431,AUT,Salzburg,47.7981346,13.0464806,
1989,AUT,Oberösterreich,48.25,14.0,
463,AUT,Burgenland,47.5000001,16.4166666,
2796,AUT,Tirol,47.223193,11.5261028,
1879,AUT,Niederösterreich,48.2817813,15.7632457,
2969,AUT,Vorarlberg,47.25,9.9166667,
676,AZE,Contiguous Azerbaijan,,,
1808,AZE,Nakhchivan Autonomous Republic,39.3194099,45.5190282,
466,BDI,Bururi,-3.8581592,29.584379,
1307,BDI,Kayanza,-3.0214816,29.6458034,
976,BDI,Gitega,-3.4284953,29.9249718,
2352,BDI,Ruyigi,-3.4573516,30.3488303,
1869,BDI,Ngozi,-2.8776895,29.8994986,
455,BDI,Bujumbura Rural,-3.4759817,29.4535702,
1594,BDI,Makamba,-4.1978315,29.8073996,
454,BDI,Bujumbura Mairie,-3.3493959,29.3631843,
517,BDI,Cankuzo,-3.1450876,30.58987,
1364,BDI,Kirundo,-2.5606278,30.1651351,
1781,BDI,Muramvya,-3.2751181,29.6307855,
641,BDI,Cibitoke,-2.8477341,29.261662,
2350,BDI,Rutana,-3.8618714,30.0676979,
450,BDI,Bubanza,-3.1154629,29.4013436,
1788,BDI,Mwaro,-3.4650043,29.6708508,
1295,BDI,Karuzi,-3.1255377,30.0978347,
1786,BDI,Muyinga,-2.7335985,30.3171441,
2347,BDI,Rumonge,-3.8755076,29.4706207,
447,BEL,Brussels Hoofdstedelijk,50.8416804,4.3582377,
2962,BEL,Vlaams Gewest,51.0962462,4.1786291,
2987,BEL,Wallonne Gewest,50.1545523,5.3992119,
791,BEN,Donga,9.2679806,1.7170684,
1392,BEN,Kouffo,7.1312662,1.7567394,
2140,BEN,Plateau,7.1002602,2.6409144,
225,BEN,Atakora,10.7160515,1.5331527,
226,BEN,Atlanique,,,
421,BEN,Borgou,9.7097453,2.7422648,
2051,BEN,Oueme,6.6013531,2.550566,
657,BEN,Collines,8.1085479,2.1853101,
132,BEN,Alibori,11.4649482,2.7938798,
1735,BEN,Mono,6.457624,1.867408,
3106,BEN,Zou,7.2834335,2.1227604,
546,BFA,Cascades,10.3071812,-4.4351893,
874,BFA,Est,12.255555,1.0095764,
581,BFA,Centre-Sud,11.5833646,-1.0556301,
2141,BFA,Plateau Central,12.40414,-0.886416,
1080,BFA,Hauts-Bassins,11.3890275,-4.041365,
578,BFA,Centre-Est,11.734933,-0.2921056,
2378,BFA,Sahel,14.0279165,-0.7717776,
576,BFA,Centre,12.36732,-1.5430869,
1899,BFA,Nord,13.45911,-2.2496367,
426,BFA,Boucle du Mouhoun,12.4777805,-3.5879571,
2665,BFA,Sud-Ouest,10.3869208,-3.2831886,
579,BFA,Centre-Nord,13.23871,-1.0349832,
580,BFA,Centre-Ouest,11.9067933,-2.3044801,
2682,BGD,Sylhet,24.89922,91.8685271,
2261,BGD,Rangpur,25.6376135,89.0826381,
751,BGD,Dhaka,23.7643863,90.3890144,
622,BGD,Chittagong,22.333778,91.8344348,
2259,BGD,Rajshani,,,
1790,BGD,Mymensingh,24.8889305,90.3845187,
323,BGD,Barisal,22.4934035,90.3548015,
1344,BGD,Khulna,22.8171664,89.563759,
2110,BGR,Pernik,42.628442,22.8823119,
2582,BGR,Sofia,42.6977028,23.3217359,
1532,BGR,Lovech,43.0444495,24.4910249,
396,BGR,Blagoevgrad,41.750287,23.4873411,
1289,BGR,Kardzhali,41.56876,25.3948569,
2540,BGR,Shumen,43.3088188,27.0197261,
2575,BGR,Sliven,42.64169,26.2634283,
2090,BGR,Pazardzhik,42.1486841,24.1531871,
2740,BGR,Targovishte,43.2530111,26.4141884,
2578,BGR,Smolyan,41.624097,24.5913304,
2971,BGR,Vratsa,43.400307,23.716675,
928,BGR,Gabrovo,42.9638895,25.2119538,
1430,BGR,Kyustendil,42.3349428,22.8884116,
2948,BGR,Vidin,43.9857242,22.8772194,
3055,BGR,Yambol,42.311889,26.5636852,
784,BGR,Dobrich,43.6637775,27.9002123,
1071,BGR,Haskovo,41.763101,25.9256255,
2147,BGR,Plovdiv,42.1418541,24.7499297,
2938,BGR,Veliko Tarnovo,43.0820584,25.6321312,
2272,BGR,Razgrad,43.6394793,26.7022408,
2349,BGR,Ruse,43.8480413,25.9542057,
2145,BGR,Pleven,43.4809895,24.6060665,
2930,BGR,Varna,43.2073873,27.9166653,
2652,BGR,Stara Zagora,42.4248111,25.6257479,
2556,BGR,Silistra,43.9057061,27.0705496,
2583,BGR,Sofia City,42.654318,23.3331572,
462,BGR,Burgas,42.4936616,27.4721276,
1956,BHR,Northern Governorate,26.2778477,50.4181123,
534,BHR,Capital Governorate,26.4243233,50.4747251,
1776,BHR,Muharraq Governorate,26.4134661,50.6797287,
2635,BHR,Southern Governorate,25.8400069,50.5902693,
550,BHS,Cat Island,24.3385,-75.6149932,
1616,BHS,Mangrove Cay,24.2188205,-77.7176145,
2346,BHS,Rum Cay,23.8263065,-74.9326829,
559,BHS,Central Abaco,26.5255105,-77.2838118,
2456,BHS,San Salvador,24.032,-74.4900167,
999,BHS,Grand Cay,27.1435,-78.2206942,
1158,BHS,Inagua,21.2325,-73.3096213,
1854,BHS,New Providence,25.1943588,-77.2953297,
560,BHS,Central Andros,24.4343749,-77.7934077,
879,BHS,Exuma,23.9685,-76.1799049,
1524,BHS,Long Island,23.303,-75.1058782,
1748,BHS,Moore's Island,26.266031,-77.6183426,
2603,BHS,South Andros,23.8985,-77.4565404,
394,BHS,Black Point,24.0962598,-76.4022591,
47,BHS,Acklins,22.4145,-74.0606831,
1066,BHS,Harbour Island,25.5014209,-76.6307296,
380,BHS,Biminis,,,
2612,BHS,South Eleuthera,24.7310794,-76.2926928,
373,BHS,Berry Islands,25.5905,-77.7261006,
1912,BHS,North Abaco,26.9383943,-77.6838221,
2602,BHS,South Abaco,26.004,-77.3567072,
3003,BHS,West Grand Bahama,26.744,-78.8788685,
1913,BHS,North Andros,24.8875,-78.0811619,
646,BHS,City of Freeport,26.535681,-78.6953623,
1923,BHS,North Eleuthera,25.3776694,-76.7842655,
2645,BHS,Spanish Wells,25.5402336,-76.9606233,
1671,BHS,Mayaguana,22.5620931,-73.4024744,
2258,BHS,Ragged Island,22.4765594,-75.8020934,
564,BHS,Central Eleuthera,25.239,-76.3291621,
818,BHS,East Grand Bahama,26.6772229,-78.0134521,
1113,BHS,Hope Town,26.5407116,-76.9594379,
689,BHS,Crooked Island,22.7486959,-74.2386163,
2308,BIH,Republika Srpska,44.6696196,17.3659025,
895,BIH,Federation of Bosnia and Herzegovina,43.9167411,17.5482072,
432,BIH,Br?ko District,,,
1011,BLR,Grodno,53.6834599,23.8342648,
439,BLR,Brest,52.093751,23.6851851,
2961,BLR,Vitebsk,55.1930197,30.2070437,
1709,BLR,Minsk,53.9024716,27.5618225,
1710,BLR,Minsk City,53.9033378,27.5523854,
987,BLR,Gomel,52.4238936,31.0131698,
1721,BLR,Mogilev,53.9090245,30.3429838,
2809,BLZ,Toledo,16.1345572,-88.8219041,
555,BLZ,Cayo,16.9497896,-88.8940646,
680,BLZ,Corozal,18.2276324,-88.2921257,
2651,BLZ,Stann Creek,16.9666599,-88.2247368,
2022,BLZ,Orange Walk,17.7831833,-88.8620283,
357,BLZ,Belize,17.1204943,-88.6859028,
2741,BOL,Tarija,,,
2032,BOL,Oruro,,,
1448,BOL,La Paz,,,
654,BOL,Cochabamba,,,
637,BOL,Chuquisaca,,,
2172,BOL,Potosí,,,
365,BOL,Beni,,,
2069,BOL,Pando,,,
984,BRA,Goias,-15.9323662,-50.1392928,
2340,BRA,Rondonia,-10.943145,-62.8277863,
2803,BRA,Tocantins,-10.8855129,-48.3716912,
2322,BRA,Rio de Jeneiro,-19.8857968,-43.8563127,
872,BRA,Espirito Santo,-19.5687682,-40.1721991,
2320,BRA,Rio Grande do Sul,-29.8425284,-53.7680577,
2319,BRA,Rio Granda do Norte,,,
2342,BRA,Roraima,2.135138,-61.3631922,
2076,BRA,Paraiba,-7.1219366,-36.7246845,
140,BRA,Amapa,1.3545442,-51.9161977,
776,BRA,Distrito Federal,-15.7754462,-47.7970891,
2484,BRA,Sao Paulo,-23.5506507,-46.6333824,
2075,BRA,Para,-4.7493933,-52.8973006,
2078,BRA,Parana,-24.4842187,-51.8148872,
2518,BRA,Sergipe,-10.6743911,-37.3773519,
123,BRA,Alagoas,-9.6611661,-36.6502426,
2109,BRA,Pernambuco,-8.4116316,-37.5919699,
557,BRA,Ceara,-5.3264703,-39.7156073,
2129,BRA,Piaui,-7.6992782,-42.5043787,
2470,BRA,Santa Catarina,-27.0628367,-51.114965,
1707,BRA,Minas Gerais,-18.5264844,-44.1588654,
49,BRA,Acre,-9.0478679,-70.5264976,
1633,BRA,Maranhao,-5.2085503,-45.3930262,
1665,BRA,Mato Grosso do Sul,-19.5852564,-54.4794731,
1664,BRA,Mato Grosso,-12.2115009,-55.5716547,
285,BRA,Bahia,-12.285251,-41.9294776,
2389,BRB,Saint James,13.1863793,-59.625192,
2400,BRB,Saint Lucy,13.3024068,-59.6129445,
2394,BRB,Saint Joseph,13.2038432,-59.5454281,
2415,BRB,Saint Thomas,13.177202,-59.5853833,
2405,BRB,Saint Michael,13.1182985,-59.6015783,
2380,BRB,Saint Andrew,13.2432904,-59.57317,
631,BRB,Christ Church,13.082618,-59.5374451,
354,BRN,Belait,4.4349938,114.4946524,
2854,BRN,Tutong,4.682681,114.6562706,
2764,BRN,Temburong,4.629184,115.1634408,
446,BRN,Brunei-Muara,4.9752098,114.9367663,
1734,BTN,Mongar,27.2065089,91.0900363,
3099,BTN,Zhemgang,27.0821148,90.8408984,
459,BTN,Bumthang,27.7079132,90.7697435,
709,BTN,Dagana,27.0711389,89.820104,
2778,BTN,Thimpu,27.4713546,89.6336729,
1494,BTN,Lhuntse,27.7287448,91.1363624,
1050,BTN,Haa,27.3596658,89.2357556,
945,BTN,Gasa,27.9190875,89.7875318,
634,BTN,Chukha,26.943123,89.3770528,
2490,BTN,Sarpang,26.9863897,90.3800673,
2988,BTN,Wangdue Phodrang,27.4883053,89.9006295,
2828,BTN,Trashiyangtse,27.720482,91.4154273,
2843,BTN,Tsirang,27.0059066,90.1577794,
2437,BTN,Samdrup Jongkhar,26.8751197,91.5511211,
2097,BTN,Pemagatshel,27.0030415,91.3677054,
2210,BTN,Punakha,27.5842857,89.8593094,
2837,BTN,Trongsa,27.5016134,90.5075946,
2440,BTN,Samtse,27.0352532,89.0147344,
2827,BTN,Trashigang,27.3312843,91.5520668,
2080,BTN,Paro,27.4646365,89.3183409,
1328,BWA,Kgatleng District,-24.134085,26.4177246,
624,BWA,Chobe District,-18.3915085,24.7067518,
1327,BWA,Kgalagadi District,-24.8490576,21.7883349,
1943,BWA,North-East District,-21.0244816,27.5147504,
2629,BWA,South-East District,-24.6563846,26.0575429,
962,BWA,Ghanzi District,-22.145794,22.7610828,
2634,BWA,Southern District,-24.7998688,24.5800692,
1423,BWA,Kweneng District,-23.9028101,24.9214122,
563,BWA,Central District,-21.4790187,26.2154174,
1945,BWA,North-West District,-19.3893529,23.267951,
1677,CAF,Mbomou,5.5230899,23.4445705,
1077,CAF,Haut-Mbomou,6.3497929,25.6508738,
306,CAF,Bamingui-Bangoran,8.698547,20.5281149,
331,CAF,Basse-Kotto,5.1283201,21.3883825,
1079,CAF,Haute-Kotto,7.3625645,22.9271411,
2048,CAF,Ouaka,6.3110548,20.5447525,
2463,CAF,Sangha-Mbaéré,3.6754895,16.3246915,
311,CAF,Bangui,4.3635118,18.5835913,
1825,CAF,Nana-Mambéré,5.2231625,15.3517922,
2915,CAF,Vakaga,9.8250502,22.376363,
2053,CAF,Ouham-Pendé,6.7057282,16.1443202,
2015,CAF,Ombella-M'Poko,5.0726761,18.1717789,
1606,CAF,Mambéré-Kadéï,4.5662762,15.8671403,
1515,CAF,Lobaye,4.1034548,17.5653592,
1434,CAF,Kémo,5.9480074,19.2158871,
2052,CAF,Ouham,7.1314008,17.7041361,
1824,CAF,Nana-Grébizi,7.5048007,19.1923579,
1965,CAN,Northwest Territories,65.0000004,-118.0,
1970,CAN,Nova Scotia,45.1960403,-63.1653789,
1979,CAN,Nunavut,65.0377727,-92.5540791,
2238,CAN,Quebec,52.4760892,-71.8258668,
126,CAN,Alberta,55.001251,-115.002136,
2182,CAN,Prince Edward Island,46.3355508,-63.1466676,
1859,CAN,Newfoundland and Labrador,53.8217327,-61.2295532,
1849,CAN,New Brunswick,46.500283,-66.750183,
2491,CAN,Saskatchewan,55.5321257,-106.141224,
2019,CAN,Ontario,50.000678,-86.000977,
1623,CAN,Manitoba,55.001251,-97.001038,
3069,CAN,Yukon,63.000147,-136.002502,
443,CAN,British Columbia,55.001251,-125.002441,
3110,CHE,Zürich,47.3744489,8.5410422,
2649,CHE,St. Gallen,47.425618,9.3762397,
3107,CHE,Zug,47.1486137,8.5539378,
2588,CHE,Solothurn,47.31874,7.6698284,
956,CHE,Genève,46.2017559,6.1466014,
1229,CHE,Jura,47.3566699,7.1598893,
1877,CHE,Nidwalden,46.942756,8.4119773,
1845,CHE,Neuchâtel,46.9895828,6.9292641,
2888,CHE,Uri,46.7864413,8.6420159,
1553,CHE,Luzern,47.0505452,8.3054682,
2917,CHE,Valais,46.2303063,7.6605757,
1007,CHE,Graubünden,46.6960615,9.6027351,
39,CHE,Aargau,47.412396,8.1948321,
328,CHE,Basel-Stadt,47.5579097,7.5927728,
980,CHE,Glarus,46.9796562,9.108812,
2788,CHE,Ticino,46.3351913,8.7525902,
372,CHE,Bern,46.9484742,7.4521749,
2508,CHE,Schwyz,47.0571976,8.7222073,
913,CHE,Fribourg,46.6789116,7.1027113,
2505,CHE,Schaffhausen,47.6960491,8.634513,
1991,CHE,Obwalden,46.8613857,8.2067825,
2779,CHE,Thurgau,47.5859649,9.1428769,
327,CHE,Basel-Landschaft,47.5092938,7.6588333,
2934,CHE,Vaud,46.6356963,6.5320717,
186,CHE,Appenzell Ausserrhoden,47.3960076,9.3705839,
187,CHE,Appenzell Innerrhoden,47.3007262,9.3991527,
2288,CHL,RegiÃ³n de Arica y Parinacota,,,
2291,CHL,RegiÃ³n de Coquimbo,,,
2286,CHL,RegiÃ³n Metropolitana de Santiago,,,
2289,CHL,RegiÃ³n de Atacama,,,
2290,CHL,RegiÃ³n de AysÃ©n del Gral.IbaÃ±ez del Campo,,,
2287,CHL,RegiÃ³n de Antofagasta,,,
2298,CHL,RegiÃ³n de Ãuble,,,
2299,CHL,RegiÃ³n del BÃ­o-BÃ­o,,,
2293,CHL,RegiÃ³n de Los Lagos,,,
2294,CHL,RegiÃ³n de Los RÃ­os,,,
2296,CHL,RegiÃ³n de TarapacÃ¡,,,
2301,CHL,RegiÃ³n del Maule,,,
2295,CHL,RegiÃ³n de Magallanes y AntÃ¡rtica Chilena,,,
2292,CHL,RegiÃ³n de La AraucanÃ­a,,,
2297,CHL,RegiÃ³n de ValparaÃ­so,,,
2300,CHL,RegiÃ³n del Libertador Bernardo O'Higgins,,,
2523,CHN,Shaanxi Province,35.5895959,109.3013107,
2526,CHN,Shandong Province,36.398987,118.5055691,
1087,CHN,Hebei Province,39.0000001,116.0,
350,CHN,Beijing Municipality,40.190632,116.412144,
1088,CHN,Heilongjiang Province,48.4919244,127.5737708,
3047,CHN,Xinjiang Uyghur Autonomous Region,42.4804953,85.4633464,
1112,CHN,Hong Kong Special Administrative Region,22.350627,114.1849161,
168,CHN,Anhui Province,32.0,117.0,
1214,CHN,Jiangsu Province,33.0000001,119.9999999,
1123,CHN,Hubei Province,39.0000001,116.0,
3071,CHN,Yunnan Province,25.0,102.0,
1215,CHN,Jiangxi Province,28.0,116.0,
3098,CHN,Zhejiang Province,29.8673986,121.5363952,
1126,CHN,Hunan Province,27.6662087,111.7487063,
1091,CHN,Henan Province,34.0000001,113.9999999,
916,CHN,Fujian Province,26.193218,118.2208721,
1495,CHN,Liaoning Province,41.2374106,122.9955469,
942,CHN,Gansu Province,38.0000001,101.9999999,
1019,CHN,Guangzhou Province,23.1301964,113.2592945,
1018,CHN,Guangxi Zhuang Autonomous Region,24.0,109.0,
2528,CHN,Shanxi Province,37.0,112.0,
1220,CHN,Jilin Province,43.7289674,126.1997366,
629,CHN,Chongqing Municipality,29.5765772,106.5285089,
2229,CHN,Qinghai Province,36.0,96.0,
1569,CHN,Macau Special Administrative Region,22.1757605,113.5514142,
2787,CHN,Tibet Autonomous Region,31.6692025,87.473225,
1029,CHN,Guizhou Province,27.0,107.0,
1056,CHN,Hainan Province,19.2000001,109.5999999,
2527,CHN,Shanghai Municipality,31.2312707,121.4700152,
2545,CHN,Sichuan Province,30.5000001,102.4999999,
2784,CHN,Tianjin Municipality,40.0344509,115.6051676,
1886,CHN,Ningxia Ningxia Hui Autonomous Region,37.6368583,105.346573,
1165,CHN,Inner Mongolia Autonomous Region,43.2443242,114.3251664,
764,CIV,District Autonome D'Abidjan,5.4091179,-4.0422099,
733,CIV,Denguele,9.6380415,-7.3900097,
765,CIV,District Autonome De Yamoussoukro,6.869145,-5.2823277,
2498,CIV,Savanes,9.5652587,-5.5594265,
2492,CIV,Sassandra-Marahoue,7.0551607,-6.336856,
668,CIV,Comoe,6.0762474,-3.3082115,
1464,CIV,Lagunes,5.8451583,-4.2931136,
1458,CIV,Lacs,7.0523847,-4.4419131,
325,CIV,Bas-Sassandra,5.3523063,-6.6766897,
2921,CIV,Valle Du Bandama,7.6794136,-5.0910803,
983,CIV,Goh-Djiboua,5.9536464,-5.6069906,
3036,CIV,Woroba,8.3713178,-6.7463262,
1740,CIV,Montagnes,6.9418251,-7.6541621,
3090,CIV,Zanzan,8.6702847,-3.3447445,
53,CMR,Adamaoua,6.8496708,13.2163222,
1514,CMR,Littoral,4.203033,10.0563057,
888,CMR,Far North,10.6377186,14.2738156,
2997,CMR,West,5.5356382,10.5828826,
1944,CMR,North-West,5.9522187,10.1673248,
2630,CMR,South-West,4.2180273,9.1733628,
2601,CMR,South,2.7312374,11.6254622,
1911,CMR,North,8.7712794,13.7803627,
814,CMR,East,3.9894393,14.178373,
2885,COD,Upper Uele,,,
2666,COD,Sud-Ubangi,,,
1075,COD,Haut-Katanga,,,
1932,COD,North Kivu,,,
1522,COD,Lomami,,,
1076,COD,Haut-Lomami,,,
2465,COD,Sankuru,,,
1296,COD,Kasai,,,
1424,COD,Kwilu,,,
1421,COD,Kwango,,,
1185,COD,Ituri,,,
1382,COD,Kongo-Central,,,
1297,COD,Kasai-Oriental,,,
569,COD,Central Kasai,,,
1358,COD,Kinshasa,,,
2841,COD,Tshopo,,,
2842,COD,Tshuapa,,,
2621,COD,South Kivu,,,
1536,COD,Lower Uele,,,
2733,COD,Tanganyika,,,
1904,COD,Nord-Ubangi,,,
1537,COD,Lualaba,,,
1590,COD,Mai-Ndombe,,,
3116,COD,Équateur,,,
1733,COD,Mongala,,,
1620,COD,Maniema,,,
2142,COG,Plateaux,-2.1709644,15.2286129,
427,COG,Bouenza,-4.2868653,13.3972129,
699,COG,Cuvette-Ouest,0.280252,14.5292599,
437,COG,Brazzaville,-4.2694407,15.2712256,
1393,COG,Kouilou,-4.1960964,11.9104388,
1872,COG,Niari,-2.9077055,12.3298313,
1503,COG,Likouala,1.6788828,17.4747723,
2163,COG,Pool,-3.7298545,15.053872,
2157,COG,Pointe-Noire,-4.7975373,11.8503297,
2462,COG,Sangha,0.9371865,16.5503883,
1559,COG,Lékoumou,-3.2315605,13.5211721,
698,COG,Cuvette,-0.4936855,16.1602013,
196,COL,Arauca,6.6666755,-71.0000086,
197,COL,"Archipiélago de San Andrés, Providencia y Santa Catalina",12.5375979,-81.7204155,
1015,COL,Guainía,2.5000086,-69.0000086,
431,COL,Boyacá,5.6278979,-72.8268617,
695,COL,Cundinamarca,5.1096596,-74.0995854,
1691,COL,Meta,3.5000086,-73.0000086,
538,COL,Caquetá,1.1153385,-74.1056838,
227,COL,Atlántico,10.6773422,-74.9718666,
544,COL,Casanare,5.5000085,-71.5000086,
2922,COL,Valle del Cauca,3.6984053,-76.5501996,
183,COL,Antioquia,7.0000085,-75.5000086,
625,COL,Chocó,6.0000085,-77.0000086,
